,cidade_estado,endereco,lat_lon,latitude,longitude
953,"Sao jose de mipibu, Rio Grande do Norte","São José de Mipibu, State of Rio Grande do Norte, Brazil","(-6.0742528, -35.2369601)",-6.0742528,-35.2369601
954,"Sao jose do campestre, Rio Grande do Norte","São José do Campestre - State of Rio Grande do Norte, Brazil","(-6.312752100000001, -35.7625241)",-6.312752100000001,-35.7625241
955,"Sao luis, Maranhão","São Luís - Vila Maranhão, São Luís - State of Maranhão, Brazil","(-2.5391099, -44.28290459999999)",-2.5391099,-44.28290459999999
956,"Sao miguel, Rio Grande do Norte","São Miguel, RN, 59920-000, Brazil","(-6.2119235, -38.4966313)",-6.2119235,-38.4966313
957,"Sao paulo, Rio Grande do Norte","São Paulo do Potengi - State of Rio Grande do Norte, Brazil","(-5.892470599999999, -35.7660034)",-5.892470599999999,-35.7660034
958,"Sao paulo, São Paulo","São Paulo, State of São Paulo, Brazil","(-23.5505199, -46.63330939999999)",-23.5505199,-46.63330939999999
959,"Sao rafael, Rio Grande do Norte","São Rafael - State of Rio Grande do Norte, Brazil","(-5.801973299999999, -36.8834042)",-5.801973299999999,-36.8834042
960,"Sapucaia do sul, Rio Grande do Sul","Sapucaia do Sul - RS, Brazil","(-29.8226542, -51.1479088)",-29.8226542,-51.1479088
961,"Sapé, Paraíba","Sapé - State of Paraíba, Brazil","(-7.0961468, -35.2302461)",-7.0961468,-35.2302461
962,"Seabra, Bahia","Seabra - State of Bahia, Brazil","(-12.4175133, -41.7692172)",-12.4175133,-41.7692172
963,"Senador elói de souza, Rio Grande do Norte","Senador Elói de Souza - State of Rio Grande do Norte, Brazil","(-6.036111699999999, -35.6927859)",-6.036111699999999,-35.6927859
964,"Senador georgino avelino, Rio Grande do Norte","Sen. Georgino Avelino, RN, 59168-000, Brazil","(-6.146780499999999, -35.1427499)",-6.146780499999999,-35.1427499
